project,month,days_t,net_tvl,borrowed,supply,util,days_f,fees,revenue,holders_rev,supply_side_rev,protocol_rev,ann,rev_to_supply,rev_to_borrow,fees_to_borrow,take,passthru,holders_share
venus-core-pool,2024-10,31,1692315631,569341434,2261657065,0.2517,31,4678584,736995,736995,3941587,0,11.774193548387096,0.38367982080402396,1.524133192490176,9.675486493468012,15.752522558107323,84.24743469391593,100.0
venus-core-pool,2024-11,30,1808877852,637158091,2446035943,0.2605,30,6856244,1098321,1098321,5757925,0,12.166666666666666,0.5463086320641201,2.097266861828174,13.092140947690378,16.019281110765604,83.98074805972483,100.0
venus-core-pool,2024-12,31,1842072500,731332655,2573405155,0.2842,31,8186163,1488106,1488106,6698053,0,11.774193548387096,0.6808585127170201,2.3957973084787425,13.179428939986984,18.178308934234515,81.82164220282445,100.0
venus-core-pool,2025-01,31,1815813885,784637004,2600450889,0.3017,31,7016278,1286749,1286749,5729526,0,11.774193548387096,0.5826078792058875,1.9308841791756164,10.528564768185507,18.33948141735547,81.66047582493168,100.0
venus-core-pool,2025-02,28,1799852959,717608791,2517461749,0.2851,28,4159031,590461,590461,3568569,0,13.035714285714286,0.30574768001597724,1.0726012542476147,7.555083006421611,14.19708100276242,85.8028949531754,100.0
venus-core-pool,2025-03,31,1652236328,691947301,2344183629,0.2952,31,4402144,727026,727026,3675120,0,11.774193548387096,0.3651652853817314,1.237109361701185,7.490699856616821,16.515270740802663,83.48477469160481,100.0
venus-core-pool,2025-04,30,1613374472,660725664,2274100136,0.2905,30,3401332,531968,531968,2869365,0,12.166666666666666,0.28460828223323814,0.9795710513423213,6.263245840359345,15.639990450799862,84.36003894944686,100.0
venus-core-pool,2025-05,31,1709794165,657538392,2367332557,0.2778,31,2693390,350601,350601,2342787,0,11.774193548387096,0.17437533311708958,0.6278027385902152,4.822911566400266,13.017089986968097,86.98283575716847,100.0
venus-core-pool,2025-06,30,1598912775,652710936,2251623711,0.2899,30,2081440,300830,300830,1780593,0,12.166666666666666,0.16255373024597417,0.5607533337442554,3.8798471528392873,14.452974863556001,85.54620839418864,100.0
venus-core-pool,2025-07,31,1771307389,737130427,2508437816,0.2939,31,2490403,390702,390702,2099702,0,11.774193548387096,0.18338907739309632,0.624068794238219,3.977923832939794,15.68830426240251,84.31173589174121,100.0
venus-core-pool,2025-08,31,1900943807,796664498,2697608305,0.2953,31,2713147,382857,382857,2330280,0,11.774193548387096,0.1671047798525679,0.5658382456694886,4.0098583510904495,14.111177905214866,85.8884535191053,100.0
